question,answer
"khi khách hàng yêu cầu đặt túi lớn hơn kích thước chuẩn, cần ghi chú gì trên đơn hàng?","Trường hợp khách đặt túi lớn hơn kích thước chuẩn, phải ghi rõ trên diễn giải mã hàng nào được in kích thước lớn hơn và số tiền chênh lệch. Ví dụ: ghi chú mã GOI0025-123 khách bù tiền chênh lệch in kích thước lớn hơn, kèm công thức tính số tiền chênh lệch."
một đơn hàng in nhãn tối đa nên chứa bao nhiêu mã vật tư và vì sao?,Một đơn hàng in nhãn tối đa khoảng 10 mã vật tư để việc duyệt nhãn trong cùng một đơn không bị quá tải và dễ kiểm soát.
"vì sao một số khách vip như bmcvp, bell được tạo đơn riêng?","Một số khách VIP như BMCVP, BELL sẽ được tạo đơn hàng riêng để việc theo dõi, xử lý và chăm sóc trở nên dễ dàng và chuyên biệt hơn."
cách ghi tồn kho nhãn khi lên đơn hàng in tái bản được tính như thế nào?,Tồn kho nhãn đối với in tái bản và tái bản có chỉnh sửa được tính theo công thức: TỒN KHO = Tồn do kho vật tư kiểm tra + Hàng nợ của nhãn.
đơn hàng nhãn riêng sau khi lên đơn sẽ được chuyển cho kinh doanh vào thời điểm nào?,"Sau khi hoàn tất các bước lên đơn hàng, đơn hàng nhãn riêng sẽ được chuyển cho bộ phận kinh doanh trước 14h thứ 3 và thứ 6 hàng tuần."
trách nhiệm của bộ phận kinh doanh trong bước kiểm tra đơn hàng nhãn riêng là gì?,Bộ phận kinh doanh kiểm tra xem nhãn đã đúng theo thiết kế khách chốt hay chưa; sau đó CSKH ký nháy và ghi kế hoạch đóng hàng cho từng nhãn.
trách nhiệm của kế toán trong bước kiểm tra đơn hàng nhãn riêng là gì?,"Sau khi kinh doanh kiểm tra xong, kế toán kiểm tra tình trạng cọc của khách hàng. Nếu thiếu cọc, kế toán cần phối hợp với kinh doanh để xác nhận xử lý."
quy trình trình ký đơn hàng nhãn riêng được thực hiện như thế nào?,"Tất cả các đơn hàng nhãn riêng được tập hợp để chị Phương kiểm tra, sau đó tổng hợp lại và trình ký cho Sếp theo lịch: lệnh in thứ 4 trình ký thứ 7, lệnh in thứ 7 trình ký thứ 4."
"sau khi trình ký, những bước chính để gửi đơn hàng cho nhà in là gì?","Sau khi trình ký, bộ phận vật tư gửi mail đơn hàng cho nhà cung cấp, đồng thời đưa đơn hàng cho thiết kế để gửi file thiết kế tương ứng cho nhà in."
quy trình duyệt in nhãn sau khi gửi đơn hàng cho nhà cung cấp gồm những bước nào?,"Sau khi gửi đơn cho nhà cung cấp, tiến hành duyệt nhãn qua 2 vòng: duyệt lần 1 qua Zalo, duyệt lần 2 qua email, so sánh nhãn file mềm với nhãn market. Kết quả duyệt được phân công người phụ trách và cập nhật vào file theo dõi để kiểm soát."
cách theo dõi lịch nhãn về được thực hiện dựa trên thông tin nào?,"Tiến độ nhãn về được theo dõi dựa trên thông báo lịch giao đơn hàng của nhà cung cấp trong group ""Lịch nhãn về"", từ đó sắp xếp theo dõi và phối hợp kho nhận hàng."
"khi nhãn về kho, kho vật tư cần kiểm tra những gì?","Khi nhãn về, kho vật tư kiểm tra số lượng và chất lượng nhãn/gói thực tế, bao gồm nội dung, hình ảnh, màu sắc so với nhãn đã duyệt."
nếu nhãn nhà cung cấp giao đúng yêu cầu thì xử lý thế nào?,"Nếu nhãn nhà cung cấp giao đúng về số lượng và chất lượng, kho tiến hành nhập kho và kết thúc đơn hàng."
nếu nhãn nhà cung cấp giao sai thì quy trình xử lý ra sao?,"Nếu nhãn giao sai (về số lượng hoặc nội dung, màu sắc...), kho báo cho bộ phận vật tư để làm việc lại với nhà cung cấp và yêu cầu chỉnh sửa, in lại hoặc xử lý theo thỏa thuận."
hóa đơn công nợ thanh toán,"Hóa đơn công nợ thanh toán là chứng từ hợp lệ để chứng minh chi phí đầu vào của công ty.\nLà cơ sở để khấu trừ thuế GTGT.\nLà căn cứ đối chiếu công nợ khi kết thúc kỳ.\nMột hóa đơn hợp lệ phải đúng số lượng, giá tiền, tên hàng và có ký xác nhận.\nViệc nhận hóa đơn GTGT được thực hiện trên phần mềm Misa Amis để ghi nhận công nợ nhà cung cấp và phục vụ quá trình chốt công nợ."
các trường hợp nhận hóa đơn trên misa gồm những gì?,Có 2 trường hợp nhận hóa đơn trên MISA:\nTrường hợp 1: Mỗi hóa đơn tương ứng với 1 phiếu nhập.\nTrường hợp 2: Nhiều phiếu nhập tương ứng với 1 hóa đơn.
trường hợp 1: mỗi hoá đơn tương ứng với 1 phiếu nhập,"Trường hợp 1: mỗi hoá đơn tương ứng với 1 phiếu nhập\nB1: Đăng nhập phần mềm Misa Amis  Chọn mua hàng\n(IMG_KEY: buoc-1-hoa-don-truong-hop-1.jpg)\nB2:  Tìm tên nhà cung cấp trên hoá đơn > và lựa chọn giá trị phiếu nhập đúng bằng giá trị trước thuế của hoá đơn đó\nVd: Nhận hoá đơn cho phiếu phập của Tân đức trị giá \n(IMG_KEY: buoc-2-hoa-don-truong-hop-2.jpg)\nCách nhận hóa đơn trên phần mềm:\nB3:  Nhấp chọn phiếu nhập chưa nhận hóa đơn có giá trị tương ứng với hóa đơn\nTrong ví dụ này, chọn phiếu nhập có giá trị nhập kho là 13.660.300đ\n(IMG_KEY: buoc-3-hoa-don-truong-hop-3.jpg)\nCách nhận hóa đơn trên phần mềm:\nB4: Nhấp nhận hóa đơn \n(IMG_KEY: buoc-4-hoa-don-truong-hop-4.jpg)\nCách nhận hóa đơn trên phần mềm:\nB5: Nhập ký hiệu hóa đơn, số hóa đơn, ngày hóa đơn > Kiểm tra thuế và chỉnh thuế nếu chưa khớp với hóa đơn   Cất\n(IMG_KEY: buoc-5-hoa-don-truong-hop-5.jpg)"
trường hợp 2: nhiều phiếu nhập tương ứng với 1 hoá đơn,"Trường hợp 2: nhiều phiếu nhập tương ứng với 1 hoá đơn \nCách nhận hóa đơn trên phần mềm:\nB1: Kiểm tra các phiếu nhập nào tương ứng với hoá đơn đó: tên hàng, số lượng, đơn giá \n(IMG_KEY: buoc-1-truong-hop-2-nhieu-phieu-nhap-tuong-ung-voi-1-hoa-don.jpg)\nB2: Chọn tab mua hàng > Nhận hoá đơn > chọn Thêm \n(IMG_KEY: buoc-2-truong-hop-2-nhieu-phieu-nhap-tuong-ung-voi-1-hoa-don.jpg)\nB3: chọn Tên nhà cung cấp theo hoá đơn > chọn các số phiếu nhập tương ứng với hoá đơn như đã tìm \n(IMG_KEY: buoc-3-truong-hop-2-nhieu-phieu-nhap-tuong-ung-voi-1-hoa-don.jpg)\nB4: Nhập các thông tin trên hoá đơn như trường hợp 1 > hoàn tất xong chọn Cất \n(IMG_KEY: buoc-4-truong-hop-2-nhieu-phieu-nhap-tuong-ung-voi-1-hoa-don.jpg)"
công nợ phải trả?,"Công nợ\n1. Khái quát\na) Khái niệm: Công nợ phải trả là số tiền mà công ty phải thanh toán cho nhà cung cấp sau khi nhận hàng hóa hoặc dịch vụ.\nb) Phân loại công nợ theo thời gian thanh toán: thời hạn công nợ tùy vào thỏa thuận hai bên, hiện tại đang có:\nCông nợ 30 ngày\nCông nợ phải trả trong vòng 30 ngày kể từ ngày nhận hàng hóa hoặc dịch vụ theo thỏa thuận giữa công ty và nhà cung cấp\nCông nợ 60 ngày\nCông nợ phải trả trong vòng 60 ngày kể từ ngày nhận hàng hóa hoặc dịch vụ theo thỏa thuận giữa công ty và nhà cung cấp\nCông nợ 90 ngày\nCông nợ phải trả trong vòng 90 ngày kể từ ngày nhận hàng hóa hoặc dịch vụ theo thỏa thuận giữa công ty và nhà cung cấp\nc) Mục tiêu:\nĐảm bảo ghi nhận các mặt hàng đã mua/bán trong tháng đó, giá cả, số lượng giữa BMC và nhà cung cấp là khớp nhau.\n=> Đối chiếu công nợ hàng tháng với nhà cung cấp\nd) Quy trình\nBước 1\nMỗi đầu tháng yêu cầu nhà cung cấp gửi đối chiếu công nợ của tháng trước\nBước 2\nThực hiện đối chiếu công nợ chi tiết từng hóa đơn *\nBước 3\nSau khi công nợ hai bên đã khớp nhau thì trình ký\nBước 4\nScan và chuyển kế toán lưu trữ\n*: Sau khi đối chiếu có các trường hợp có thể xảy ra:\nTất cả hóa đơn đều khớp mặt hàng, số lượng, giá, thuế  Bước 3\nCó sự khác về mặt hàng, số lượng, giá  yêu cầu nhà cung cấp xem và chỉnh sửa\nCó sự chênh lệch các khoản như phát sinh, đầu kỳ, cuối kỳ  Xem mục 2, B4\n2. Cách đối chiếu công nợ\nB1: Đăng nhập Misa Amis\nvà chọn mục báo cáo\n(IMG_KEY: buoc-1-doi-chieu-cong-no.jpg)\nB2: Chọn Mua hàng  Báo cáo công nợ nhà cung cấp  Tổng hợp công nợ phải trả nhà cung cấp\n(IMG_KEY: buoc-2-doi-chieu-cong-no.jpg)\nB3: Bấm chọn tham số ở góc trên bên phải  chọn kỳ báo cáo, nhà cung cấp  Tick vào ô tên nhà cung cấp  Bấm xem báo cáo\n(IMG_KEY: buoc-3-doi-chieu-cong-no.jpg)\nB4: Đối chiếu đầu kỳ, phát sinh, thanh toán, cuối kỳ giữa ghi nhận của BMC và nhà cung cấp xem có khớp nhau không\n(IMG_KEY: buoc-4-doi-chieu-cong-no.jpg)\nCác trường hợp chênh lệch có thể xảy ra:\nGiả sử bạn đang đối chiếu công nợ tháng 4,2025\nLệch đầu kỳ và phát sinh Hóa đơn tháng 3 nhà cung cấp xuất sang tháng 4  Tính số tiền chênh lệch và tìm hóa đơn xuất lệch\nLệch cuối kỳ và phát sinh Hóa đơn tháng 4 nhà cung cấp xuất sang tháng 5  Tính số tiền chênh lệch và tìm hóa đơn xuất lệch\nLệch thanh toán và phát sinh Do nhà cung cấp bù hàng lỗi, xuất trả hàng  tính số tiền chênh lệch và tìm phiếu bù lỗi hoặc xuất trả.\nB5: Bấm vào tên nhà cung cấp để hiển thị báo cáo chi tiết  Kiểm tra từng hóa đơn trong báo cáo với ĐCCN của nhà cung cấp\nCác mục cần đối chiếu: Số hóa đơn, Tên mặt hàng, Số lượng, Giá, VAT\n(IMG_KEY: buoc-5-doi-chieu-cong-no.jpg)\nB6: Ghi chi tiết lệch và ký nháy xác nhận\n(IMG_KEY: buoc-6-doi-chieu-cong-no.jpg)"
nhiệm vụ là chuẩn bị đầy đủ bộ hồ sơ thanh toán cho nhà cung cấp,"Nhiệm vụ là chuẩn bị đầy đủ bộ hồ sơ thanh toán cho nhà cung cấp.\nGồm 2 loại thanh toán:\n- Thanh toán theo công nợ tháng\nVí dụ tháng 7 sẽ thanh toán cho công nợ tháng 4 cho nhà cung cấp Mộc Ấn (công nợ 90 ngày).\n- Thanh toán tuần: thanh toán các hóa đơn phát sinh trong tuần qua, do nhà cung cấp không áp dụng công nợ.\n1. Thanh toán theo công nợ\nBộ thanh toán bao gồm:\n1. Giấy đề nghị thanh toán => Tự in từ file mẫu có sẵn\n(IMG_KEY: 1-giay-de-nghi-thanh-toan.jpg)\n2. Đối chiếu công nợ => Yêu cầu nhà cung cấp gửi\n(IMG_KEY: 2-doi-chieu-cong-no.jpg)\n3. Đơn mua hàng => In từ file lưu trong google drive Phuong – VT  PDF  Nhập số DMH cần in  in\n(IMG_KEY: 3-don-mua-hang.jpg)\n4. Hóa đơn => nhà cung cấp gửi qua email. Truy cập email Vật tư để in\n(IMG_KEY: 4-hoa-don.jpg)"
nhận hóa đơn gtgt trên misa là gì và khi nào cần thực hiện?,Nhận hóa đơn GTGT trên MISA là thao tác ghi nhận hóa đơn nhà cung cấp gửi để công ty hạch toán chi phí và công nợ. Thực hiện khi nhà cung cấp gửi hóa đơn cho các phiếu nhập hàng. Có 2 trường hợp: (1) Một hóa đơn – một phiếu nhập; (2) Một hóa đơn – nhiều phiếu nhập.
đối chiếu công nợ với nhà cung cấp gồm những nội dung gì và thực hiện ra sao?,"Đối chiếu công nợ là so khớp đầu kỳ – phát sinh – thanh toán – cuối kỳ giữa BMC và nhà cung cấp. Thực hiện hằng tháng: yêu cầu nhà cung cấp gửi ĐCCN, so từng hóa đơn, xử lý lệch, ký nháy xác nhận, sau đó trình ký và lưu trữ."
hồ sơ thanh toán nhà cung cấp bao gồm những giấy tờ nào và quy trình lập ra sao?,Hồ sơ thanh toán có hai loại: thanh toán theo công nợ tháng và thanh toán tuần. Bộ hồ sơ gồm: (1) Giấy đề nghị thanh toán; (2) Đối chiếu công nợ nhà cung cấp; (3) Đơn mua hàng; (4) Hóa đơn nhà cung cấp. Tất cả in và tập hợp đủ trước khi trình ký.
cách nhận hóa đơn gtgt trên misa thực hiện như thế nào?,"Đăng nhập MISA → Chọn Mua hàng → Chọn phiếu nhập tương ứng → Nhấp 'Nhận hóa đơn' → Nhập ký hiệu, số hóa đơn, ngày hóa đơn → Kiểm tra VAT → Cất."
khi mỗi hóa đơn tương ứng một phiếu nhập thì xử lý thế nào?,Chọn đúng phiếu nhập có giá trị bằng giá trị trước thuế của hóa đơn → Chọn 'Nhận hóa đơn' → Nhập thông tin hóa đơn và VAT → Cất.
làm sao để xác định phiếu nhập khớp với hóa đơn trong trường hợp 1?,"Kiểm tra tên nhà cung cấp, giá trị trước thuế, số lượng, đơn giá. Phiếu nhập phải có giá trị bằng giá trị hàng hóa trên hóa đơn."
khi có nhiều phiếu nhập ứng với 1 hóa đơn thì phải làm sao?,Tập hợp tất cả phiếu nhập liên quan (tên hàng – số lượng – đơn giá) → Vào Mua hàng → Nhận hóa đơn → Thêm → Chọn nhà cung cấp → Chọn nhiều phiếu nhập đúng → Nhập thông tin hóa đơn → Cất.
khi nhập hóa đơn trên misa cần lưu ý gì về vat?,VAT phải khớp với hóa đơn nhà cung cấp. Nếu phần mềm gợi ý sai thuế suất thì phải chỉnh lại trước khi Cất.
nhầm phiếu nhập khi nhận hóa đơn thì phải xử lý thế nào?,Hủy hóa đơn đã nhận trên phần mềm (nếu chưa vào kỳ) hoặc lập biên bản điều chỉnh và liên hệ kế toán để sửa đúng phiếu nhập.
các loại công nợ theo thời hạn gồm những loại nào?,"Có ba loại: công nợ 30 ngày, 60 ngày và 90 ngày, phụ thuộc thỏa thuận giữa BMC và nhà cung cấp."
mục tiêu đối chiếu công nợ là gì?,"Nhằm đảm bảo ghi nhận đầy đủ số lượng – giá – thuế – mặt hàng giữa BMC và nhà cung cấp, và chốt số liệu khớp nhau trước khi thanh toán."
quy trình đối chiếu công nợ hàng tháng như thế nào?,(1) Yêu cầu nhà cung cấp gửi ĐCCN; (2) Đối chiếu từng hóa đơn; (3) Ghi nhận chênh lệch; (4) Trình ký; (5) Scan và lưu trữ kế toán.
làm sao để xem báo cáo công nợ nhà cung cấp trên misa?,MISA → Báo cáo → Mua hàng → Công nợ phải trả nhà cung cấp → Chọn tham số → Chọn kỳ báo cáo và nhà cung cấp → Xem báo cáo.
khi đối chiếu phát sinh lệch đầu kỳ thì nguyên nhân thường là gì?,Do nhà cung cấp xuất hóa đơn tháng trước sang tháng sau. Cần tính chênh lệch và tìm đúng hóa đơn lệch.
khi phát sinh lệch cuối kỳ thì nguyên nhân là gì?,Do hóa đơn tháng hiện tại được nhà cung cấp xuất sang tháng kế tiếp.
lệch thanh toán là gì và vì sao xảy ra?,Do nhà cung cấp bù hàng lỗi hoặc xuất trả hàng. Phải kiểm tra phiếu bù lỗi hoặc phiếu trả hàng.
khi nhà cung cấp và bmc không khớp số lượng hàng thì xử lý thế nào?,Liên hệ nhà cung cấp yêu cầu kiểm tra lại; đối chiếu từng dòng hàng; điều chỉnh số liệu nếu nhà cung cấp xác nhận.
khi nhà cung cấp chậm gửi đccn thì bộ phận công nợ xử lý sao?,Nhắc nhà cung cấp gửi lại ngay; nếu cần gấp có thể đối chiếu bằng dữ liệu nội bộ rồi bổ sung ĐCCN sau.
thanh toán theo công nợ tháng khác gì thanh toán tuần?,Thanh toán công nợ tháng: trả các khoản công nợ theo hạn (30/60/90 ngày). Thanh toán tuần: trả các hóa đơn phát sinh vì nhà cung cấp không áp dụng công nợ.
cách chuẩn bị giấy đề nghị thanh toán như thế nào?,"Dùng file mẫu có sẵn, nhập đầy đủ thông tin số tiền – lý do thanh toán – nhà cung cấp – đính kèm hóa đơn và ĐCCN."
làm sao để in đơn mua hàng phục vụ thanh toán?,Mở Google Drive thư mục Phuong – VT → Tìm file đơn mua hàng → Xuất PDF → In.
các chứng từ nhà cung cấp cần cung cấp để thanh toán gồm gì?,Gồm Hóa đơn GTGT và Đối chiếu công nợ đã ký.
trình ký hồ sơ thanh toán theo thứ tự nào?,CSKH → Vật tư → Kế toán → Giám đốc duyệt cuối.
làm sao kiểm tra hóa đơn thật hay giả?,Kiểm tra mã tra cứu trên hóa đơn → Tra trên cổng thuế điện tử → Đối chiếu MST và ngày hóa đơn → So khớp QR code.
tại sao giá trị trước thuế trên phiếu nhập phải bằng hóa đơn?,Vì đó là giá trị hạch toán thực tế vật tư; nếu không khớp sẽ tạo lệch công nợ và lệch giá vốn.
nếu nhà cung cấp gửi hóa đơn muộn hơn kỳ đối chiếu thì cần làm gì?,"Ghi chú lại hóa đơn nhận muộn, điều chỉnh công nợ kỳ sau và thông báo cho kế toán để xử lý thuế."
nếu phiếu nhập bị sửa sau khi đã nhận hóa đơn thì có được không?,Không được. Phải lập biên bản điều chỉnh và xử lý với kế toán trước khi sửa.
nếu lỡ nhận hóa đơn vào sai phiếu nhập thì có thể xóa được không?,Có thể xóa nếu chưa khóa sổ. Nếu đã khóa sổ phải nhờ kế toán mở kỳ kế toán hoặc lập chứng từ điều chỉnh.
hướng dẫn kiểm tra và xử lý lỗi vật tư phụ,"HƯỚNG DẪN KIỂM TRA VÀ XỬ LÝ LỖI VẬT TƯ PHỤ\nI/. Kiểm tra khi nhận vật tư từ nhà cung cấp\n    - Vật tư phụ kiểm\nII/. Kiểm tra trước khi sản xuất\n   - KCS, công nhân đứng line kiểm\nIII/. Kiểm tra trên line\n   - KCS kiểm, công nhân trên line\nIV/. Quy trình xử lý lỗi"
nội dung kiểm tra vật tư phụ khi nhận từ nhà cung cấp gồm những gì?,"I. Kiểm tra khi nhận vật tư từ nhà cung cấp\nKiểm tra chai, nắp, seal\nKiểm tra túi, nhãn, màng\nKiểm tra thùng, hộp\n(IMG_KEY: 1-kiem-ra-vat-tu-khi-nhan-tu-nha-cung-cap.jpg)\n(IMG_KEY: 2-kiem-ra-vat-tu-khi-nhan-tu-nha-cung-cap.jpg)\n(IMG_KEY: 3-kiem-ra-vat-tu-khi-nhan-tu-nha-cung-cap.jpg)\nNguyên tắc \nTất cả các vật tư phụ > phải kiểm tra và xác nhận ĐẠT bởi nhân viên vật tư ( có chữ kí xác nhận lên phiếu kiểm tra) \n> mới được phép nhập kho \n1. Kiểm tra chai, nắp, seal\nCác chỉ tiêu cần kiểm tra:\n> Ngoại quan : màu sắc, hình dạng, miệng chai, cảm quan \n> Trọng lượng : cân xem nằm trong giới hạn cho phép hay không( bộ phận vật tư cung cấp)\n> Số lượng : theo quy chuẩn, phiếu giao hàng của nhà cung cấp và kế hoạch vật tư báo cho về \n> Seal: xem có rớt seal không, và lấy 5 chai+ nắp ( đổ nước vào tối thiểu 50% dung tích) chạy thử qua máy ép seal>> đạt thì nhận, không đạt trả về cho nhà cung cấp\nPhương pháp kiểm tra seal\nKiểm tra miệng chai\nVuốt ngược xung quanh > xem có tróc giấy không > Có đủ nhiệt để seal ăn đều quanh miệng chưa\nẤn seal > xem quanh miệng chai kiểm tra có điểm nào ăn seal chưa đạt bị bung > điều chỉnh lại vị trí chai đi qua máy seal đã chuẩn chưa?\nCắt seal 4 phần > bóc seal từng phần > để kiểm tra các vị trí trên miệng đều ăn seal\n(IMG_KEY: phuong-phap-kiem-tra-seal.jpg)\nCác lỗi trong sản xuất:\n(IMG_KEY: loi-trong-san-xuat-mau-sac-nap-bi-lech-trong-cung-1-lo.jpg)\n(IMG_KEY: loi-trong-san-xuat-rot-seal.jpg)\n(IMG_KEY: loi-trong-san-xuat-trong-luong-chai-chenh-lech.jpg)\n(IMG_KEY: loi-trong-san-xuat-lan-nap-khong-logo.jpg)\n(IMG_KEY: loi-trong-san-xuat-lung-ron-chai.jpg)\n(IMG_KEY: loi-trong-san-xuat-kiem-tra-do-day-mong-than-chai.jpg)\n(IMG_KEY: loi-trong-san-xuat-test-seal.jpg)\n(IMG_KEY: loi-trong-san-xuat-tach-lop-o-than-chai.jpg)\n(IMG_KEY: loi-trong-san-xuat-nap-lan-trong-lo.jpg)\n(IMG_KEY: loi-trong-san-xuat-than-chai-nhua-khong-deu-lung-xi.jpg)\n(IMG_KEY: loi-trong-san-xuat-lech-mau-chai.jpg)\n(IMG_KEY: loi-trong-san-xuat-chai-bien-dang.jpg)\n(IMG_KEY: loi-trong-san-xuat-lung-chai.jpg)\n(IMG_KEY: loi-trong-san-xuat-khuyet-seal.jpg)\n2. Kiểm tra túi, nhãn, màng\n Các chỉ tiêu cần kiểm tra:\n> Nội dung market : theo market vật tư đã ký duyệt, đơn hàng sếp đã duyệt\n> Kích thước : theo tiêu chuẩn\n> Số lượng : theo đơn hàng, phiếu giao hàng của nhà cung cấp, kế hoạch giao hàng \n> cảm quan : nhãn có cong, vênh hay không? Mực in có đẹp không? Màu sắc đúng theo tone màu ko? \n> Riêng với túi : lấy 3 túi/ 1 loại kiểm tra độ bung của các mép ép >> nếu đạt thì nhận, không đạt trả nhà cung cấp\nPhương pháp kiểm tra TÚI\n(IMG_KEY: phuong-phap-kiem-tra-tui.jpg)\nCác lỗi trong sản xuất:\n(IMG_KEY: loi-trong-san-xuat-nhan-cong.jpg)\n(IMG_KEY: loi-trong-san-xuat-noi-dung-nhan-nhan-thuc-te-bi-sai.jpg)\n(IMG_KEY: loi-trong-san-xuat-lech-tone-mau-so-voi-market.jpg)\n(IMG_KEY: loi-trong-san-xuat-bung-mep-tui.jpg)\n(IMG_KEY: loi-trong-san-xuat-nhan-dut.jpg)\n(IMG_KEY: loi-trong-san-xuat-nhan-lan-trong-1-lo-tui.jpg)\n(IMG_KEY: loi-trong-san-xuat-goi-cat-khong-deu.jpg)\n(IMG_KEY: loi-trong-san-xuat-goi-mang-bi-lung-lem-muc.jpg)\n(IMG_KEY: loi-trong-san-xuat-nhan-bi-de-chu.jpg)\n3. Kiểm tra thùng, hộp\n Các chỉ tiêu kiểm tra:\n> Kiểm tra cảm quan, số lớp, thùng cán màng hay phủ chống thấm,  market đối với thùng in offset\n> Số lượng: theo phiếu giao hàng của nhà cung cấp và lịch cho hàng về của vật tư\n> Độ cứng : rất quan trọng\n> Mã thùng\nCác cách kiểm tra thùng hộp:\nKiểm tra mã thùng \n(IMG_KEY: kiem-tra-ma-thung.jpg)\nKiểm tra số lớp thùng \n(IMG_KEY: kiem-tra-so-lop-thung.jpg)\nKiểm tra bấm ghim \n(IMG_KEY: kiem-tra-bam-ghim.jpg)\nKiểm tra lỗi in thùng hai mặt cùng thiết kế trên offset \n(IMG_KEY: loi-in-thung-hai-mat-cung-thiet-ke-tren-thung-offset.jpg)\nKiểm tra độ cứng của thùng: (IMG_KEY: kiem-tra-do-cung-cua-thung.jpg)"
nội dung kiểm tra trước khi sản xuất gồm những gì?,"Nguyên tắc:\n> Tất cả chai, thùng, nhãn, màng, túi: KCS, công nhân đứng line phải kiểm tra trước khi cho chạy ( cho chai không liệu chạy qua máy seal > test sael) \n> Đạt mới được phép cho vào line sản xuất.\n> Riêng với chai : đổi lệnh, hay đổi nhà cung cấp >> đều phải kiểm tra seal đạt mới cho chạy.\n> Tất cả các line chỉ được phép chạy khi có chữ ký xác nhận của KCS lên lệnh sản xuất\n"
kiểm tra trước khi sản xuất,"Cách kiểm tra:\nChai : lấy 5 chai không + nắp. ( Không chiết liệu) > cho chạy qua máy seal >> KCS kiểm tra ok > mới cho line chạy \nNhãn, màng, thùng, hộp>> kiểm tra đúng loại , và chất lượng ok mới cho chạy"
